通貨ペア,区分,売買,数量,約定価格,Pips損益,円転レート,建玉損益,累計スワップ,手数料,決済損益,約定日時,取引番号,決済対象取引番号
USDJPY,決済,売,31,154.589,5.4,-,"16,740",0,0,"16,740",2026/1/27 14:08,2.66688E+18,2.66686E+18
USDJPY,新規,買,31,154.535,-,-,-,-,-,-,2026/1/27 13:37,2.66686E+18,-
USDJPY,決済,売,30,158.643,6.9,-,"20,700",0,0,"20,700",2026/1/23 11:17,2.66389E+18,2.66387E+18
USDJPY,新規,買,30,158.574,-,-,-,-,-,-,2026/1/23 10:25,2.66387E+18,-
USDJPY,決済,売,40,158.645,-2,-,"-8,000",0,0,"-8,000",2026/1/22 13:56,2.66325E+18,2.66324E+18
USDJPY,新規,買,40,158.665,-,-,-,-,-,-,2026/1/22 13:36,2.66324E+18,-
USDJPY,決済,売,40,158.179,-4,-,"-16,000",0,0,"-16,000",2026/1/20 9:19,2.66166E+18,2.66165E+18
USDJPY,新規,買,40,158.219,-,-,-,-,-,-,2026/1/20 9:01,2.66165E+18,-
USDJPY,決済,買,37,158.269,24.4,-,"90,280",0,0,"90,280",2026/1/16 11:51,2.65882E+18,2.65882E+18
USDJPY,新規,売,37,158.513,-,-,-,-,-,-,2026/1/16 11:19,2.65882E+18,-
USDJPY,決済,売,38,158.566,2.4,-,"9,120",0,0,"9,120",2026/1/15 14:01,2.65818E+18,2.65816E+18
USDJPY,新規,買,38,158.542,-,-,-,-,-,-,2026/1/15 13:19,2.65816E+18,-
USDJPY,決済,売,33,157.047,-0.7,-,"-2,310",0,0,"-2,310",2026/1/9 9:54,2.6537E+18,2.6537E+18
USDJPY,新規,買,33,157.054,-,-,-,-,-,-,2026/1/9 9:54,2.6537E+18,-
USDJPY,決済,買,33,156.565,-3.6,-,"-11,880",0,0,"-11,880",2026/1/8 17:15,2.65319E+18,2.65319E+18
USDJPY,新規,売,33,156.529,-,-,-,-,-,-,2026/1/8 16:50,2.65319E+18,-
USDJPY,決済,買,40,156.5,2.5,-,"10,000",0,0,"10,000",2026/1/7 14:16,2.65239E+18,2.65237E+18
USDJPY,新規,売,40,156.525,-,-,-,-,-,-,2026/1/7 13:48,2.65237E+18,-
USDJPY,決済,売,17,157.257,14.6,-,"24,820",0,0,"24,820",2026/1/5 13:34,2.65091E+18,2.65085E+18
USDJPY,新規,買,17,157.111,-,-,-,-,-,-,2026/1/5 11:23,2.65085E+18,-
USDJPY,決済,売,40,155.706,-7.7,-,"-30,800",0,0,"-30,800",2025/12/19 10:44,2.6385E+18,2.6385E+18
USDJPY,新規,買,40,155.783,-,-,-,-,-,-,2025/12/19 10:26,2.6385E+18,-
USDJPY,決済,売,40,155.089,14.3,-,"57,200",0,0,"57,200",2025/12/17 14:01,2.63716E+18,2.63713E+18
