"í â›ÉyÉA","ãÊï™","îÑîÉ","êîó ","ñÒíËâøäi","Pipsëπâv","â~ì]ÉåÅ[Ég","åöã ëπâv","ó›åvÉXÉèÉbÉv","éËêîóø","åàçœëπâv","ñÒíËì˙éû","éÊà¯î‘çÜ","åàçœëŒè€éÊà¯î‘çÜ"
"USDJPY","åàçœ","îÑ","15.0","153.936","28.8","-","43,200","0","0","43,200","2026-01-30 11:36:26","2668974773534412318","2668953699571933726"
"USDJPY","êVãK","îÉ","15.0","153.648","-","-","-","-","-","-","2026-01-30 10:54:34","2668953699571933726","-"
"USDJPY","åàçœ","îÑ","28.0","153.305","-4.3","-","-12,040","0","0","-12,040","2026-01-29 18:02:01","2668439621779045406","2668439621779044382"
"USDJPY","êVãK","îÉ","28.0","153.348","-","-","-","-","-","-","2026-01-29 17:53:11","2668439621779044382","-"
"USDJPY","åàçœ","îÑ","31.0","154.589","5.4","-","16,740","0","0","16,740","2026-01-27 14:08:19","2666876890702039582","2666861615265496606"
"USDJPY","êVãK","îÉ","31.0","154.535","-","-","-","-","-","-","2026-01-27 13:37:58","2666861615265496606","-"
"USDJPY","åàçœ","îÑ","30.0","158.643","6.9","-","20,700","0","0","20,700","2026-01-23 11:17:26","2663891781337937438","2663865846263039006"
"USDJPY","êVãK","îÉ","30.0","158.574","-","-","-","-","-","-","2026-01-23 10:25:54","2663865846263039006","-"
"USDJPY","åàçœ","îÑ","40.0","158.645","-2.0","-","-8,000","0","0","-8,000","2026-01-22 13:56:46","2663247202246588958","2663237239901664286"
"USDJPY","êVãK","îÉ","40.0","158.665","-","-","-","-","-","-","2026-01-22 13:36:59","2663237239901664286","-"
"USDJPY","åàçœ","îÑ","40.0","158.179","-4.0","-","-16,000","0","0","-16,000","2026-01-20 09:19:22","2661658028814520350","2661649075759149598"
"USDJPY","êVãK","îÉ","40.0","158.219","-","-","-","-","-","-","2026-01-20 09:01:35","2661649075759149598","-"
"USDJPY","åàçœ","îÉ","37.0","158.269","24.4","-","90,280","0","0","90,280","2026-01-16 11:51:58","2658819350715280414","2658819350715279390"
"USDJPY","êVãK","îÑ","37.0","158.513","-","-","-","-","-","-","2026-01-16 11:19:25","2658819350715279390","-"
"USDJPY","åàçœ","îÑ","38.0","158.566","2.4","-","9,120","0","0","9,120","2026-01-15 14:01:30","2658176151956062750","2658155251222452254"
